menor tamanho: 11

1. 0, 4, 1, 5, 2, 4, 1, 3, 0, 2, 5, 3
2. 0, 3, 1, 4, 2, 0, 4, 2, 5, 3, 1, 5
3. 0, 2, 4, 1, 3, 5, 2, 4, 0, 3, 1, 5
4. 0, 4, 2, 5, 1, 4, 2, 0, 3, 1, 5, 3
5. 0, 4, 1, 5, 2, 0, 3, 5, 2, 4, 1, 3
6. 0, 4, 2, 0, 3, 1, 5, 3, 1, 4, 2, 5
7. 0, 2, 5, 3, 1, 5, 2, 4, 0, 3, 1, 4
8. 0, 3, 5, 2, 0, 4, 1, 5, 2, 4, 1, 3
9. 0, 2, 5, 3, 0, 4, 1, 5, 2, 4, 1, 3
10. 0, 4, 1, 3, 5, 1, 4, 2, 0, 3, 5, 2
11. 0, 4, 1, 3, 0, 2, 5, 1, 4, 2, 5, 3
12. 0, 3, 5, 2, 4, 0, 2, 4, 1, 3, 5, 1
13. 0, 3, 1, 4, 0, 2, 5, 1, 4, 2, 5, 3
14. 0, 2, 4, 0, 3, 1, 5, 3, 1, 4, 2, 5
15. 0, 4, 2, 0, 3, 1, 5, 2, 4, 1, 3, 5
16. 0, 2, 5, 1, 3, 0, 4, 1, 3, 5, 2, 4
17. 0, 4, 2, 5, 3, 0, 2, 4, 1, 5, 3, 1
18. 0, 3, 5, 1, 4, 2, 0, 4, 2, 5, 1, 3
19. 0, 2, 5, 1, 4, 0, 3, 1, 4, 2, 5, 3
20. 0, 3, 1, 5, 2, 4, 1, 3, 5, 2, 0, 4
21. 0, 2, 4, 0, 3, 1, 5, 2, 4, 1, 5, 3
22. 0, 2, 5, 3, 1, 4, 2, 5, 1, 4, 0, 3
23. 0, 4, 2, 0, 3, 5, 1, 4, 2, 5, 1, 3
24. 0, 4, 2, 5, 1, 3, 5, 1, 4, 2, 0, 3
25. 0, 2, 5, 3, 1, 4, 0, 3, 5, 1, 4, 2
26. 0, 4, 1, 5, 3, 0, 2, 4, 1, 3, 5, 2
27. 0, 4, 1, 3, 5, 2, 0, 3, 1, 5, 2, 4
28. 0, 3, 1, 5, 2, 0, 4, 1, 3, 5, 2, 4
29. 0, 2, 4, 1, 5, 3, 1, 4, 0, 3, 5, 2
30. 0, 3, 1, 5, 2, 4, 0, 2, 4, 1, 5, 3
31. 0, 2, 5, 1, 4, 2, 5, 3, 0, 4, 1, 3
32. 0, 3, 1, 4, 2, 5, 1, 3, 5, 2, 0, 4
33. 0, 3, 1, 5, 2, 4, 0, 2, 5, 3, 1, 4
34. 0, 4, 2, 0, 3, 1, 4, 2, 5, 1, 3, 5
35. 0, 3, 5, 1, 3, 5, 2, 4, 0, 2, 4, 1
36. 0, 2, 5, 1, 3, 5, 2, 4, 1, 3, 0, 4
37. 0, 4, 2, 5, 3, 1, 5, 2, 0, 3, 1, 4
38. 0, 2, 4, 1, 5, 2, 4, 0, 3, 1, 5, 3
39. 0, 2, 5, 3, 1, 4, 2, 5, 1, 3, 0, 4
40. 0, 3, 1, 4, 2, 5, 3, 1, 5, 2, 0, 4
41. 0, 4, 1, 5, 2, 0, 3, 1, 4, 2, 5, 3
42. 0, 3, 5, 1, 4, 0, 2, 5, 3, 1, 4, 2
43. 0, 3, 1, 4, 2, 5, 1, 4, 0, 2, 5, 3
44. 0, 2, 5, 3, 0, 4, 1, 3, 5, 1, 4, 2
45. 0, 4, 1, 3, 0, 2, 5, 1, 3, 5, 2, 4
46. 0, 2, 4, 1, 5, 3, 0, 4, 2, 5, 3, 1
47. 0, 2, 5, 1, 4, 2, 5, 3, 1, 4, 0, 3
48. 0, 4, 2, 5, 1, 3, 0, 2, 4, 1, 5, 3
49. 0, 4, 1, 3, 0, 2, 5, 3, 1, 5, 2, 4
50. 0, 4, 1, 5, 3, 1, 4, 2, 5, 3, 0, 2
51. 0, 4, 1, 5, 3, 0, 2, 5, 3, 1, 4, 2
52. 0, 2, 4, 1, 5, 2, 4, 0, 3, 5, 1, 3
53. 0, 4, 2, 5, 3, 1, 5, 3, 0, 2, 4, 1
54. 0, 3, 5, 1, 4, 2, 0, 4, 2, 5, 3, 1
55. 0, 2, 4, 0, 3, 1, 4, 2, 5, 3, 1, 5
56. 0, 4, 2, 0, 3, 1, 4, 2, 5, 3, 1, 5
57. 0, 4, 1, 3, 5, 2, 4, 1, 5, 3, 0, 2
58. 0, 2, 4, 0, 3, 5, 1, 3, 5, 2, 4, 1
59. 0, 3, 1, 5, 3, 1, 4, 2, 0, 4, 2, 5
60. 0, 2, 4, 0, 3, 5, 2, 4, 1, 3, 5, 1
61. 0, 4, 2, 5, 3, 1, 4, 2, 0, 3, 5, 1
62. 0, 4, 2, 5, 3, 0, 2, 4, 1, 3, 5, 1
63. 0, 4, 1, 5, 3, 1, 4, 2, 0, 3, 5, 2
64. 0, 4, 2, 0, 3, 5, 2, 4, 1, 3, 5, 1
65. 0, 4, 2, 5, 1, 4, 2, 0, 3, 5, 1, 3
66. 0, 3, 5, 2, 4, 0, 2, 4, 1, 5, 3, 1
67. 0, 4, 1, 5, 2, 4, 1, 3, 5, 2, 0, 3
68. 0, 2, 4, 1, 5, 3, 0, 4, 2, 5, 1, 3
69. 0, 3, 5, 2, 0, 4, 1, 5, 3, 1, 4, 2
70. 0, 2, 4, 1, 3, 0, 4, 2, 5, 3, 1, 5
71. 0, 2, 4, 0, 3, 5, 1, 4, 2, 5, 3, 1
72. 0, 3, 1, 4, 0, 2, 5, 1, 3, 5, 2, 4
73. 0, 4, 2, 5, 3, 1, 4, 2, 0, 3, 1, 5
74. 0, 2, 5, 3, 1, 5, 2, 4, 1, 3, 0, 4
75. 0, 4, 1, 3, 5, 2, 0, 3, 5, 1, 4, 2
76. 0, 3, 5, 2, 4, 1, 3, 5, 1, 4, 0, 2
77. 0, 2, 4, 1, 3, 5, 1, 3, 0, 4, 2, 5
78. 0, 4, 2, 0, 3, 5, 1, 3, 5, 2, 4, 1
79. 0, 2, 5, 1, 4, 0, 3, 5, 2, 4, 1, 3
80. 0, 4, 2, 5, 1, 3, 0, 2, 5, 3, 1, 4
81. 0, 3, 1, 4, 2, 0, 4, 2, 5, 1, 3, 5
82. 0, 4, 2, 0, 3, 5, 1, 4, 2, 5, 3, 1
83. 0, 3, 5, 1, 4, 2, 5, 3, 1, 4, 0, 2
84. 0, 2, 4, 0, 3, 5, 1, 4, 2, 5, 1, 3
85. 0, 2, 4, 0, 3, 1, 5, 2, 4, 1, 3, 5
86. 0, 3, 5, 2, 0, 4, 1, 3, 5, 1, 4, 2
87. 0, 3, 5, 1, 4, 0, 2, 4, 1, 3, 5, 2
88. 0, 3, 1, 4, 0, 2, 5, 3, 1, 5, 2, 4
89. 0, 2, 4, 1, 3, 0, 4, 2, 5, 1, 3, 5
90. 0, 3, 5, 2, 4, 1, 5, 2, 0, 4, 1, 3
91. 0, 2, 4, 0, 3, 1, 4, 2, 5, 1, 3, 5
92. 0, 2, 4, 1, 3, 5, 1, 4, 0, 3, 5, 2
93. 0, 2, 4, 1, 5, 3, 1, 5, 2, 4, 0, 3
94. 0, 2, 5, 1, 3, 5, 2, 4, 0, 3, 1, 4
95. 0, 2, 5, 1, 3, 0, 4, 2, 5, 3, 1, 4
96. 0, 3, 1, 5, 2, 4, 0, 2, 4, 1, 3, 5
97. 0, 2, 4, 1, 5, 3, 0, 4, 1, 3, 5, 2
98. 0, 2, 5, 3, 1, 4, 0, 3, 1, 5, 2, 4
99. 0, 2, 5, 3, 0, 4, 1, 5, 3, 1, 4, 2
100. 0, 4, 2, 5, 1, 3, 5, 2, 0, 3, 1, 4
101. 0, 4, 2, 0, 3, 5, 2, 4, 1, 5, 3, 1
102. 0, 4, 1, 3, 5, 2, 4, 1, 5, 2, 0, 3
103. 0, 4, 1, 3, 5, 1, 4, 2, 5, 3, 0, 2
104. 0, 3, 5, 1, 4, 2, 0, 4, 1, 3, 5, 2
105. 0, 3, 1, 5, 2, 0, 4, 2, 5, 3, 1, 4
106. 0, 2, 4, 1, 3, 5, 2, 4, 0, 3, 5, 1
