menor tamanho: 23

1. 0, 2, 4, 7, 3, 5, 2, 7, 5, 1, 3, 6, 0, 3, 6, 2, 5, 0, 4, 1, 6, 4, 1, 7
2. 0, 2, 7, 5, 1, 6, 3, 7, 1, 3, 6, 0, 4, 2, 5, 0, 3, 5, 1, 4, 7, 2, 6, 4
3. 0, 5, 2, 4, 0, 6, 3, 1, 6, 2, 5, 3, 6, 4, 1, 7, 2, 0, 3, 7, 5, 1, 4, 7
4. 0, 6, 4, 1, 6, 2, 4, 0, 5, 2, 7, 3, 5, 1, 3, 5, 7, 4, 1, 7, 2, 0, 3, 6
5. 0, 2, 6, 1, 5, 3, 0, 5, 1, 3, 6, 4, 0, 6, 4, 1, 7, 2, 4, 7, 2, 5, 7, 3
6. 0, 6, 3, 7, 1, 5, 3, 0, 4, 6, 2, 5, 1, 4, 2, 0, 5, 7, 3, 1, 6, 4, 7, 2
7. 0, 4, 6, 1, 4, 7, 3, 1, 5, 2, 0, 6, 3, 5, 0, 3, 5, 7, 2, 4, 6, 2, 7, 1
8. 0, 5, 3, 1, 5, 7, 2, 4, 6, 2, 5, 7, 1, 4, 2, 0, 6, 3, 7, 4, 0, 3, 6, 1
9. 0, 2, 6, 3, 7, 2, 4, 1, 5, 7, 1, 6, 3, 0, 6, 4, 0, 5, 3, 1, 4, 7, 5, 2
10. 0, 5, 7, 2, 0, 3, 5, 2, 4, 1, 6, 4, 0, 6, 2, 7, 3, 1, 7, 4, 6, 3, 1, 5
11. 0, 6, 4, 7, 1, 6, 2, 5, 7, 2, 0, 4, 7, 3, 1, 6, 3, 5, 0, 3, 5, 1, 4, 2
12. 0, 5, 2, 7, 3, 6, 4, 1, 7, 5, 3, 1, 5, 2, 0, 6, 2, 4, 1, 6, 3, 0, 4, 7
13. 0, 4, 7, 3, 6, 4, 1, 3, 0, 6, 2, 5, 1, 7, 2, 6, 1, 3, 5, 7, 4, 2, 0, 5
14. 0, 3, 5, 1, 6, 3, 7, 1, 4, 6, 2, 7, 4, 0, 2, 6, 0, 5, 2, 4, 1, 3, 7, 5
15. 0, 4, 1, 7, 5, 2, 6, 0, 3, 1, 6, 2, 4, 7, 2, 0, 5, 3, 6, 4, 7, 3, 1, 5
16. 0, 6, 1, 4, 0, 3, 7, 5, 3, 6, 4, 7, 3, 1, 5, 2, 7, 1, 5, 0, 2, 6, 4, 2
17. 0, 3, 1, 4, 0, 5, 2, 7, 5, 3, 7, 2, 0, 6, 3, 5, 1, 7, 4, 6, 1, 4, 2, 6
18. 0, 2, 4, 6, 3, 5, 2, 7, 5, 1, 3, 6, 0, 3, 7, 1, 4, 7, 1, 6, 2, 4, 0, 5
19. 0, 4, 1, 3, 5, 2, 6, 3, 1, 5, 7, 4, 2, 0, 5, 7, 3, 0, 6, 1, 7, 2, 4, 6
20. 0, 2, 5, 1, 4, 7, 3, 6, 1, 3, 6, 0, 3, 5, 1, 7, 5, 0, 4, 2, 6, 4, 7, 2
